,Label,Area,intensity_mean_fluor,mean_chi2,mean_tau,min_fluor,min_chi2,min_tau,STD_fluor,STD_chi2,STD_tau,File Name,ph,Date,selected_analysis
76,77,87.0,570.2413793103449,118.52873563218391,1493.1149425287356,415.0,85.0,798.0,39.247509773039866,13.013555338158172,347.4174482376198,3,75,2023-10-12,analyze_single_fitted_channel
77,78,61.0,373.2950819672131,109.77049180327869,1501.8524590163934,335.0,81.0,888.0,19.970752600227936,11.548037151534086,332.59850438164034,3,75,2023-10-12,analyze_single_fitted_channel
81,82,53.0,443.0188679245283,112.94339622641509,1443.0,302.0,87.0,901.0,46.38415904206047,11.455270014589598,368.788173591741,3,75,2023-10-12,analyze_single_fitted_channel
82,83,97.0,388.69072164948454,110.27835051546391,1415.2371134020618,263.0,78.0,681.0,60.24920084591999,11.734821095576198,338.20270177598337,3,75,2023-10-12,analyze_single_fitted_channel
83,84,65.0,401.12307692307695,108.6923076923077,1375.323076923077,329.0,84.0,817.0,30.68224627836741,12.234784053198585,275.7424722561201,3,75,2023-10-12,analyze_single_fitted_channel
84,85,54.0,417.6296296296296,110.44444444444444,1378.6666666666667,382.0,90.0,843.0,16.24271494398996,11.814408445350967,306.17061329338,3,75,2023-10-12,analyze_single_fitted_channel
85,86,41.0,318.4146341463415,107.29268292682927,1532.8048780487804,285.0,86.0,814.0,15.842172199168342,12.93934047107092,327.80498511903016,3,75,2023-10-12,analyze_single_fitted_channel
87,88,144.0,569.0347222222222,118.11805555555556,1451.5833333333333,417.0,84.0,820.0,81.07381866018808,13.173783165279534,301.0410524791889,3,75,2023-10-12,analyze_single_fitted_channel
89,90,91.0,442.46153846153845,113.3956043956044,1439.043956043956,399.0,87.0,784.0,21.262518067157828,13.403197191878371,339.4960037016705,3,75,2023-10-12,analyze_single_fitted_channel
91,92,95.0,372.42105263157896,110.81052631578947,1402.8315789473684,328.0,87.0,635.0,22.854035206233412,13.043485760164854,385.0298047966124,3,75,2023-10-12,analyze_single_fitted_channel
92,93,59.0,346.1186440677966,106.50847457627118,1403.4915254237287,229.0,84.0,688.0,45.86128116424415,13.392855268737643,438.23402821723414,3,75,2023-10-12,analyze_single_fitted_channel
93,94,33.0,472.57575757575756,115.60606060606061,1476.090909090909,460.0,83.0,1012.0,6.372432593080267,11.898406804323653,294.1901429694504,3,75,2023-10-12,analyze_single_fitted_channel
95,96,55.0,351.23636363636365,106.58181818181818,1439.1818181818182,280.0,82.0,814.0,29.062292743418098,10.86226313116095,348.74127377334884,3,75,2023-10-12,analyze_single_fitted_channel
96,97,96.0,486.5833333333333,113.54166666666667,1387.0625,320.0,88.0,739.0,45.85408621074268,12.086422019035336,286.7088684718641,3,75,2023-10-12,analyze_single_fitted_channel
